date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
08_01_22,08_03_22,238,P,238P,159,10,APO,3,B,W1,O1,W1O1,3B,W1O1_exp3B,177,30,0.359,0.32,-0.039,-0.108635097,-3.244193633,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_03_22,242,Z,242Z,166,7,APO,3,B,W1,O2,W1O2,3B,W1O2_exp3B,177,30,0.414,0.359,-0.055,-0.132850242,-2.900422094,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,8_05_22,251,K,251K,172,12,SYM,3,B,W1,O3,W1O3,3B,W1O3_exp3B,177,30,0.568,0.554,-0.014,-0.024647887,-4.268697949,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,245,L,245L,169,7,SYM,3,B,W1,O4,W1O4,3B,W1O4_exp3B,177,30,0.047,0.384,0.337,7.170212766,-1.087672349,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_06_22,256,G,256G,177,9,SYM,3,B,W1,O5,W1O5,3B,W1O5_exp3B,177,30,0.013,0.449,0.436,33.53846154,-0.830113036,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,250,D,250D,171,10,SYM,3,B,W2,O10,W2O10,3B,W2O10_exp3B,186,30,0.528,0.24,-0.288,-0.545454545,-1.244794799,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,8_05_22,252,O,252O,173,16,SYM,3,B,W2,O11,W2O11,3B,W2O11_exp3B,186,30,0.472,0.221,-0.251,-0.531779661,-1.38230234,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,243,E,243E,167,1,SYM,3,B,W2,O12,W2O12,3B,W2O12_exp3B,186,30,0.556,0.575,0.019,0.034172662,-3.9633163,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,238,Y,238Y,160,3,APO,3,B,W2,O7,W2O7,3B,W2O7_exp3B,186,30,0.419,0.536,0.117,0.279236277,-2.145581344,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,8_05_22,244,I,244I,168,4,APO,3,B,W2,O8,W2O8,3B,W2O8_exp3B,186,30,0.512,0.583,0.071,0.138671875,-2.645075402,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,194,E,194E,131,2,APO,2,A,B23,G33,B23G33,2A,B23G33_exp2A,67,20,0.417,0.359,-0.058,-0.139088729,-2.847312268,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_07_22,234,A,234A,152,10,APO,3,A,B23,G33,B23G33,3A,B23G33_exp3A,131,20,0.475,0.149,-0.326,-0.686315789,-1.120857898,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_05_22,209,C,209C,139,14,APO,2,A,B23,G34,B23G34,2A,B23G34_exp2A,67,20,0.406,0.572,0.166,0.408866995,-1.795767491,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_02_22,237,Z,237Z,155,12,APO,3,A,B23,G34,B23G34,3A,B23G34_exp3A,131,20,0.415,0.405,-0.01,-0.024096386,-4.605170186,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_07_22,231,C,231C,150,8,APO,2,A,B23,G35,B23G35,2A,B23G35_exp2A,67,20,0.538,0.639,0.101,0.187732342,-2.292634762,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_02_22,237,BJ,237BJ,157,16,APO,3,A,B23,G35,B23G35,3A,B23G35_exp3A,131,20,0.475,0.401,-0.074,-0.155789474,-2.603690186,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,152,P,152P,104,1,APO,1,A,B24,G38,B24G38,1A,B24G38_exp1A,3,20,0.337,0.553,0.216,0.640949555,-1.532476871,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,152,B,152B,103,3,APO,1,A,B24,G39,B24G39,1A,B24G39_exp1A,3,20,0.162,0.391,0.229,1.413580247,-1.474033275,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,167,E,167E,113,12,APO,1,B,B26,G48,B26G48,1B,B26G48_exp1B,37,20,0.333,0.541,0.208,0.624624625,-1.570217199,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,178,A,178A,122,14,APO,1,B,B26,G49,B26G49,1B,B26G49_exp1B,37,20,0.22,0.458,0.238,1.081818182,-1.435484605,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,184,M,184M,126,11,APO,1,B,B26,G50,B26G50,1B,B26G50_exp1B,37,20,0.12,0.248,0.128,1.066666667,-2.055725015,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,170,H,170H,117,11,APO,2,B,B27,G53,B27G53,2B,B27G53_exp2B,99,20,0.46,0.538,0.078,0.169565217,-2.551046452,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_05_22,212,F,212F,141,14,APO,2,B,B27,G54,B27G54,2B,B27G54_exp2B,99,20,0.433,0.376,-0.057,-0.131639723,-2.864704011,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_03_22,242,AE,242AE,166,12,APO,3,B,O2,B8,O2B8,3B,O2B8_exp3B,169,20,0.425,0.475,0.05,0.117647059,-2.995732274,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_03_22,242,B,242B,164,15,APO,3,B,O3,B13,O3B13,3B,O3B13_exp3B,173,20,0.34,0.435,0.095,0.279411765,-2.353878387,A_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,193,I,193I,130,12,SYM,2,A,B23,G36,B23G36,2A,B23G36_exp2A,67,20,0.536,0.113,-0.423,-0.789179104,-0.8603831,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,08_03_22,239,U,239U,161,9,SYM,3,A,B23,G36,B23G36,3A,B23G36_exp3A,131,20,0.536,0.032,-0.504,-0.940298507,-0.685179011,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,220,A,220A,144,7,SYM,2,A,B23,G37,B23G37,2A,B23G37_exp2A,67,20,0.525,0.135,-0.39,-0.742857143,-0.94160854,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,08_03_22,241,I,241I,163,11,SYM,3,A,B23,G37,B23G37,3A,B23G37_exp3A,131,20,0.601,0.472,-0.129,-0.214642263,-2.047942875,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_23_22,143,A,143A,97,14,SYM,1,A,B24,G40,B24G40,1A,B24G40_exp1A,3,20,0.406,0.111,-0.295,-0.726600985,-1.220779923,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_24_22,151,D,151D,102,10,SYM,1,A,B24,G41,B24G41,1A,B24G41_exp1A,3,20,0.338,0.48,0.142,0.420118343,-1.951928221,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_24_22,155,E,155E,106,8,SYM,1,A,B24,G42,B24G42,1A,B24G42_exp1A,3,20,0.287,0.375,0.088,0.306620209,-2.430418465,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_25_22,166,F,166F,112,16,SYM,1,B,B26,G51,B26G51,1B,B26G51_exp1B,37,20,0.403,0.057,-0.346,-0.858560794,-1.061316504,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,173,E,173E,120,14,SYM,1,B,B26,G52,B26G52,1B,B26G52_exp1B,37,20,0.446,0.592,0.146,0.32735426,-1.924148657,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,191,D,191D,129,14,SYM,2,B,B27,G55,B27G55,2B,B27G55_exp2B,99,20,0.585,0.588,0.003,0.005128205,-5.80914299,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_05_22,211,C,211C,141,1,SYM,2,B,B27,G56,B27G56,2B,B27G56_exp2B,99,20,0.565,0.162,-0.403,-0.713274336,-0.908818717,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,226,F,226F,147,15,SYM,2,B,B27,G57,B27G57,2B,B27G57_exp2B,99,20,0.552,0.059,-0.493,-0.893115942,-0.707246105,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_05_22,244,N,244N,168,9,APO,3,B,O3,B14,O3B14,3B,O3B14_exp3B,173,20,0.331,0.418,0.087,0.262839879,-2.44184716,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,8_05_22,247,I,247I,170,5,SYM,3,B,O3,B15,O3B15,3B,O3B15_exp3B,173,20,0.032,0.027,-0.005,-0.15625,-5.298317367,A_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_01_22,197,B,197B,133,2,APO,2,A,B24,G38,B24G38,2A,B24G38_exp2A,68,20,0.468,0.567,0.099,0.211538462,-2.312635429,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_32,07_31_32,235,K,235K,153,11,APO,3,A,B24,G38,B24G38,3A,B24G38_exp3A,132,20,0.552,0.289,-0.263,-0.476449275,-1.335601247,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_05_22,210,I,210I,140,14,APO,2,A,B24,G39,B24G39,2A,B24G39_exp2A,68,20,0.382,0.175,-0.207,-0.541884817,-1.575036486,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_02_22,237,AJ,237AJ,156,6,APO,3,A,B24,G39,B24G39,3A,B24G39_exp3A,132,20,0.532,0.536,0.004,0.007518797,-5.521460918,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_07_22,233,D,233D,151,8,APO,2,A,B24,G40,B24G40,2A,B24G40_exp2A,68,20,0.443,0.072,-0.371,-0.837471783,-0.991553216,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_02_22,237,BS,237BS,158,9,APO,3,A,B24,G40,B24G40,3A,B24G40_exp3A,132,20,0.349,0.331,-0.018,-0.051575931,-4.017383521,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,168,P,168P,116,2,APO,1,B,B28,G58,B28G58,1B,B28G58_exp1B,38,20,0.22,0.285,0.065,0.295454545,-2.733368009,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,179,B,179B,123,12,APO,1,B,B28,G59,B28G59,1B,B28G59_exp1B,38,20,0.161,0.261,0.1,0.621118012,-2.302585093,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,187,D,187D,128,9,APO,1,B,B28,G60,B28G60,1B,B28G60_exp1B,38,20,0.15,0.458,0.308,2.053333333,-1.177655496,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_07_22,215,C,215C,143,3,APO,2,B,B30,G72,B30G72,2B,B30G72_exp2B,100,20,0.406,0.59,0.184,0.45320197,-1.692819521,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,171,G,171G,118,12,APO,2,B,B30,G73,B30G73,2B,B30G73_exp2B,100,20,0.577,0.364,-0.213,-0.36915078,-1.546463113,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_22,06_24_22,146,D,146D,100,4,APO,1,A,B34,G100,B34G100,1A,B34G100_exp1A,8,20,0.189,0.274,0.085,0.44973545,-2.465104022,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_22,06_25_22,162,B,162B,110,14,APO,1,A,B34,G97,B34G97,1A,B34G97_exp1A,8,20,0.12,0.499,0.379,3.158333333,-0.970219074,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_03_22,243,I,243I,167,5,SYM,3,B,O3,B20,O3B20,3B,O3B20_exp3B,173,20,0.588,0.501,-0.087,-0.147959184,-2.44184716,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,08_03_22,242,K,242K,165,8,APO,3,B,O4,B21,O4B21,3B,O4B21_exp3B,174,20,0.423,0.475,0.052,0.122931442,-2.95651156,A_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_01_22,201,A,201A,134,16,SYM,2,A,B24,G41,B24G41,2A,B24G41_exp2A,68,20,0.464,0.445,-0.019,-0.040948276,-3.9633163,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,08_03_22,240,H,240H,162,2,SYM,3,A,B24,G41,B24G41,3A,B24G41_exp3A,132,20,0.484,0.081,-0.403,-0.832644628,-0.908818717,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,222,B,222B,145,4,SYM,2,A,B24,G42,B24G42,2A,B24G42_exp2A,68,20,0.447,0.11,-0.337,-0.753914989,-1.087672349,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,08_03_22,241,R,241R,164,4,SYM,3,A,B24,G42,B24G42,3A,B24G42_exp3A,132,20,0.579,0.507,-0.072,-0.124352332,-2.63108916,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,167,P,167P,114,7,SYM,1,B,B28,G62,B28G62,1B,B28G62_exp1B,38,20,0.401,0.058,-0.343,-0.855361596,-1.070024832,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,182,B,182B,124,9,SYM,1,B,B28,G63,B28G63,1B,B28G63_exp1B,38,20,0.429,0.112,-0.317,-0.738927739,-1.148853505,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,196,Q,196Q,132,10,SYM,2,B,B30,G74,B30G74,2B,B30G74_exp2B,100,20,0.538,0.618,0.08,0.148698885,-2.525728644,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,217,C,217C,143,10,SYM,2,B,B30,G75,B30G75,2B,B30G75_exp2B,100,20,0.581,0.606,0.025,0.04302926,-3.688879454,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,233,J,233J,151,14,SYM,2,B,B30,G76,B30G76,2B,B30G76_exp2B,100,20,0.561,0.623,0.062,0.110516934,-2.780620894,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_23_22,144,G,144G,98,15,SYM,1,A,B34,G3106,B34G3106,1A,B34G3106_exp1A,8,20,0.335,0.373,0.038,0.113432836,-3.270169119,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_24_22,153,C,153C,104,7,SYM,1,A,B34,G3310,B34G3310,1A,B34G3310_exp1A,8,20,0.466,0.543,0.077,0.165236052,-2.563949857,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_24_22,157,E,157E,107,5,SYM,1,A,B34,G3409,B34G3409,1A,B34G3409_exp1A,8,20,0.272,0.46,0.188,0.691176471,-1.671313316,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_05_22,247,C,247C,169,15,APO,3,B,O4,B22,O4B22,3B,O4B22_exp3B,174,20,0.456,0.607,0.151,0.331140351,-1.890475442,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,8_05_22,248,H,248H,170,13,SYM,3,B,O4,B23,O4B23,3B,O4B23_exp3B,174,20,0.563,0.137,-0.426,-0.756660746,-0.853315933,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_06_22,254,A,254A,176,3,SYM,3,B,O4,B24,O4B24,3B,O4B24_exp3B,174,20,0.584,0.385,-0.199,-0.340753425,-1.614450454,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_05_22,250,B,250B,171,8,SYM,3,B,O4,B25,O4B25,3B,O4B25_exp3B,174,20,0.575,0.541,-0.034,-0.059130435,-3.381394754,A_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,167,M,167M,114,4,APO,1,B,B13,G2,B13G2,1B,B13G2_exp1B,33,30,0.174,0.126,-0.048,-0.275862069,-3.036554268,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,178,I,178I,123,6,APO,1,B,B13,G3,B13G3,1B,B13G3_exp1B,33,30,0.268,0.46,0.192,0.71641791,-1.650259907,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,184,Q,184Q,126,15,APO,1,B,B13,G8,B13G8,1B,B13G8_exp1B,33,30,0.366,0.152,-0.214,-0.584699454,-1.541779264,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,196,E,196E,131,14,APO,2,A,B28,G58,B28G58,2A,B28G58_exp2A,71,30,0.457,0.552,0.095,0.207877462,-2.353878387,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_05_22,210,B,210B,140,7,APO,2,A,B28,G59,B28G59,2A,B28G59_exp2A,71,30,0.456,0.569,0.113,0.247807018,-2.18036746,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,AF,237AF,156,2,APO,3,A,B28,G59,B28G59,3A,B28G59_exp3A,135,30,0.171,0.435,0.264,1.543859649,-1.331806176,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_07_22,232,E,232E,150,14,APO,2,A,B28,G60,B28G60,2A,B28G60_exp2A,71,30,0.26,0.293,0.033,0.126923077,-3.411247718,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,BN,237BN,158,4,APO,3,A,B28,G60,B28G60,3A,B28G60_exp3A,135,30,0.449,0.456,0.007,0.0155902,-4.96184513,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_24_22,160,G,160G,110,5,APO,1,A,B31,G77,B31G77,1A,B31G77_exp1A,6,30,0.301,0.184,-0.117,-0.388704319,-2.145581344,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_23_22,144,I,144I,99,1,APO,1,A,B31,G78,B31G78,1A,B31G78_exp1A,6,30,0.158,0.203,0.045,0.284810127,-3.101092789,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,170,N,170N,118,1,APO,2,B,B33,G90,B33G90,2B,B33G90_exp2B,103,30,0.452,0.27,-0.182,-0.402654867,-1.703748592,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_05_22,213,C,213C,142,2,APO,2,B,B33,G92,B33G92,2B,B33G92_exp2B,103,30,0.411,0.418,0.007,0.01703163,-4.96184513,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_03_22,242,F,242F,165,3,APO,3,B,W3,O13,W3O13,3B,W3O13_exp3B,188,30,0.48,0.479,-0.001,-0.002083333,-6.907755279,A_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,167,G,167G,113,14,SYM,1,B,B13,G10,B13G10,1B,B13G10_exp1B,33,30,0.409,0.433,0.024,0.058679707,-3.729701449,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,178,B,178B,122,15,SYM,1,B,B13,G13,B13G13,1B,B13G13_exp1B,33,30,0.315,0.509,0.194,0.615873016,-1.63989712,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,198,G,198G,133,15,SYM,2,A,B28,G62,B28G62,2A,B28G62_exp2A,71,30,0.481,0.526,0.045,0.093555094,-3.101092789,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,08_03_22,240,C,240C,161,13,SYM,3,A,B28,G62,B28G62,3A,B28G62_exp3A,135,30,0.485,0.508,0.023,0.04742268,-3.772261063,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,220,G,220G,144,13,SYM,2,A,B28,G63,B28G63,2A,B28G63_exp2A,71,30,0.479,0.106,-0.373,-0.778705637,-0.986176859,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,08_03_22,241,M,241M,163,15,SYM,3,A,B28,G63,B28G63,3A,B28G63_exp3A,135,30,0.388,0.535,0.147,0.378865979,-1.917322692,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_23_22,144,B,144B,98,10,SYM,1,A,B31,G79,B31G79,1A,B31G79_exp1A,6,30,0.344,0.522,0.178,0.51744186,-1.725971729,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_24_22,152,L,152L,103,13,SYM,1,A,B31,G80,B31G80,1A,B31G80_exp1A,6,30,0.384,0.535,0.151,0.393229167,-1.890475442,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_24_22,155,J,155J,106,13,SYM,1,A,B31,G82,B31G82,1A,B31G82_exp1A,6,30,0.365,0.572,0.207,0.567123288,-1.575036486,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,196,D,196D,131,13,SYM,2,B,B33,G93,B33G93,2B,B33G93_exp2B,103,30,0.563,0.548,-0.015,-0.026642984,-4.199705078,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_05_22,211,H,211H,141,6,SYM,2,B,B33,G94,B33G94,2B,B33G94_exp2B,103,30,0.153,0.461,0.308,2.013071895,-1.177655496,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,226,I,226I,148,2,SYM,2,B,B33,G95,B33G95,2B,B33G95_exp2B,103,30,0.577,0.196,-0.381,-0.660311958,-0.964955904,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,245,D,245D,168,15,APO,3,B,W3,O14,W3O14,3B,W3O14_exp3B,188,30,0.268,0.51,0.242,0.902985075,-1.418817553,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,8_05_22,248,D,248D,170,9,SYM,3,B,W3,O15,W3O15,3B,W3O15_exp3B,188,30,0.078,0.337,0.259,3.320512821,-1.350927217,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,252,AB,252AB,174,13,SYM,3,B,W3,O17,W3O17,3B,W3O17_exp3B,188,30,0.537,0.217,-0.32,-0.595903166,-1.139434283,A_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,169,C,169C,116,7,APO,1,B,B25,G43,B25G43,1B,B25G43_exp1B,36,30,0.366,0.17,-0.196,-0.535519126,-1.62964062,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,181,C,181C,124,4,APO,1,B,B25,G44,B25G44,1B,B25G44_exp1B,36,30,0.157,0.253,0.096,0.611464968,-2.343407088,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,187,I,187I,128,14,APO,1,B,B25,G45,B25G45,1B,B25G45_exp1B,36,30,0.111,0.458,0.347,3.126126126,-1.058430499,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_01_22,198,F,198F,133,14,APO,2,A,B29,G64,B29G64,2A,B29G64_exp2A,72,30,0.49,0.523,0.033,0.067346939,-3.411247718,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,NA,237,A,237A,154,3,APO,3,A,B29,G64,B29G64,3A,B29G64_exp3A,136,30,0.399,0.467,0.068,0.170426065,-2.688247574,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_07_22,221,B,221B,145,1,APO,2,A,B29,G65,B29G65,2A,B29G65_exp2A,72,30,0.357,0.347,-0.01,-0.028011204,-4.605170186,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_02_22,237,AN,237AN,156,10,APO,3,A,B29,G65,B29G65,3A,B29G65_exp3A,136,30,0.369,0.433,0.064,0.173441734,-2.748872196,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_07_22,233,K,233K,151,15,APO,2,A,B29,G67,B29G67,2A,B29G67_exp2A,72,30,0.422,0.431,0.009,0.021327014,-4.710530702,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_03_22,238,E,238E,158,15,APO,3,A,B29,G67,B29G67,3A,B29G67_exp3A,136,30,0.462,0.339,-0.123,-0.266233766,-2.095570924,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_22_22,06_24_22,155,I,155I,106,12,APO,1,A,B33,G90,B33G90,1A,B33G90_exp1A,7,30,0.333,0.38,0.047,0.141141141,-3.057607677,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_22_22,06_24_22,154,D,154D,105,15,APO,1,A,B33,G92,B33G92,1A,B33G92_exp1A,7,30,0.224,0.166,-0.058,-0.258928571,-2.847312268,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_07_22,224,D,224D,146,9,APO,2,B,B34,G100,B34G100,2B,B34G100_exp2B,104,30,0.517,0.622,0.105,0.203094778,-2.253794929,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,178,G,178G,123,4,APO,2,B,B34,G97,B34G97,2B,B34G97_exp2B,104,30,0.337,0.423,0.086,0.255192878,-2.453407983,A_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
